Player,Team,#,Nation,Position,Age,Minutes,Goals,Assists,Penalty Shoot on Goal,Penalty Shoot,Total Shoot,Shoot on Target,Yellow Cards,Red Cards,Touches,Dribbles,Tackles,Blocks,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Pass Completion %,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles,Date
Tanguy Nianzou,Sevilla,24,FRA,CB,22,90,0,0,0,0,2,0,0,0,79,1,1,0,0.2,0.2,0,1,0,56,60,"93,3",5,36,1,1,1,16/08/2024
Carmona,Sevilla,32,ESP,RB,22,90,0,0,0,0,1,0,0,0,78,4,2,1,0,0,0,2,0,56,66,"84,8",3,30,0,2,0,16/08/2024
Ørjan Nyland,Sevilla,13,NOR,GK,33,90,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,29,50,"58,0",0,27,0,0,0,16/08/2024
Hugo Duro,Valencia,9,ESP,FW,24,90,1,0,0,0,4,1,0,0,19,0,1,2,1,1,0,0,0,4,8,"50,0",0,8,3,1,1,17/08/2024
Domingos André Ribeiro Almeida,Valencia,10,POR,FW,24,65,0,0,0,0,0,0,0,0,21,2,0,1,0,0,0,2,0,14,17,"82,4",3,9,1,1,1,17/08/2024
Dani Gómez,Valencia,17,ESP,FW,26,25,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,6,8,"75,0",0,4,0,0,0,17/08/2024
Diego López,Valencia,16,ESP,LM,22,65,0,1,0,0,0,0,0,0,25,0,1,0,0,0,0.9,3,1,12,19,"63,2",2,14,3,1,0,17/08/2024
Dimitri Foulquier,Valencia,20,FRA,LM,31,25,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,8,14,"57,1",0,6,0,0,0,17/08/2024
Javier Guerra,Valencia,8,ESP,CM,21,85,0,0,0,0,0,0,0,0,33,3,0,0,0,0,0,2,0,15,20,"75,0",3,7,0,1,0,17/08/2024
Hugo Guillamón,Valencia,6,ESP,CM,24,5,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,9,9,"100,0",0,2,0,0,0,17/08/2024
José Luis García Vayá,Valencia,18,ESP,CM,26,90,0,0,0,0,1,0,1,0,59,4,0,1,0,0,0.2,2,0,32,50,"64,0",2,15,0,0,0,17/08/2024
Rafa Mir,Valencia,11,ESP,RM,27,76,0,0,0,0,1,0,0,0,25,3,0,1,0,0,0,0,0,8,13,"61,5",1,8,2,4,0,17/08/2024
David Otorbi,Valencia,27,ESP,LM,16,14,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,2,4,"50,0",0,3,1,2,0,17/08/2024
Jesus Vazquez,Valencia,21,ESP,LB,21,76,0,0,0,0,0,0,1,0,23,2,0,0,0,0,0,1,1,13,18,"72,2",0,13,4,1,0,17/08/2024
Martín Tejón,Valencia,32,ESP,LB,20,14,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,6,7,"85,7",1,3,0,1,1,17/08/2024
Yarek Gasiorowski,Valencia,24,ESP,CB,19,90,0,0,0,0,0,0,0,0,50,1,1,3,0,0,0,0,0,33,36,"91,7",2,15,0,0,0,17/08/2024
Cristhian Mosquera,Valencia,3,ESP,CB,20,90,0,0,0,0,0,0,0,0,68,1,0,2,0,0,0,0,0,52,56,"92,9",1,31,1,2,1,17/08/2024
Thierry Correia,Valencia,12,POR,RB,25,90,0,0,0,0,0,0,0,0,53,1,1,0,0,0,0,0,0,38,48,"79,2",4,20,2,3,2,17/08/2024
Giorgi Mamardashvili,Valencia,25,GEO,GK,23,90,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,22,37,"59,5",0,21,0,0,0,17/08/2024
Robert Lewandowski,Barcelona,9,POL,FW,35,90,2,0,1,1,3,1,0,0,26,1,0,0,1.8,1,0.1,5,0,15,17,"88,2",2,16,0,0,0,17/08/2024
Ferrán Torres,Barcelona,7,ESP,LW,24,63,0,0,0,0,1,1,0,0,21,0,0,0,0.2,0.2,0,3,1,11,16,"68,8",1,9,3,0,0,17/08/2024
Pedri,Barcelona,8,ESP,"LM,AM",21,27,0,0,0,0,1,0,0,0,24,1,0,1,0,0,0,0,0,15,20,"75,0",0,14,3,0,0,17/08/2024
Lamine Yamal,Barcelona,19,ESP,RW,17,85,0,1,0,0,4,1,0,0,60,1,0,0,0.4,0.4,1.1,9,1,40,46,"87,0",4,45,2,9,3,17/08/2024
Pau Victor Delgado,Barcelona,18,ESP,LW,22,5,0,0,0,0,0,0,0,0,8,1,0,2,0,0,0.1,2,0,5,6,"83,3",2,6,0,2,1,17/08/2024
Raphinha,Barcelona,11,BRA,"AM,LW,RW",27,90,0,0,0,0,2,1,0,0,61,1,0,1,0.1,0.1,0.4,4,1,35,52,"67,3",6,30,1,1,0,17/08/2024
Marc Casado,Barcelona,17,ESP,"DM,RM",20,90,0,0,0,0,3,0,0,0,79,4,0,0,0.6,0.6,0.1,5,0,52,62,"83,9",10,41,1,3,2,17/08/2024
Marc Bernal,Barcelona,28,ESP,DM,17,70,0,0,0,0,0,0,0,0,59,4,0,1,0,0,0,0,0,49,52,"94,2",1,35,0,1,0,17/08/2024
Eric García,Barcelona,24,ESP,CM,23,20,0,0,0,0,0,0,0,0,15,0,1,1,0,0,0,0,0,10,11,"90,9",2,5,0,0,0,17/08/2024
Alejandro Balde,Barcelona,3,ESP,LB,20,63,0,0,0,0,1,1,0,0,50,0,1,0,0,0,0.4,3,0,42,47,"89,4",5,35,5,3,2,17/08/2024
Gerard Martín,Barcelona,35,ESP,LB,22,27,0,0,0,0,0,0,0,0,21,0,0,1,0,0,0.2,1,0,17,20,"85,0",2,6,0,0,0,17/08/2024
Iñigo Martínez,Barcelona,5,ESP,CB,33,90,0,0,0,0,1,0,0,0,90,0,1,0,0.1,0.1,0,1,0,75,85,"88,2",7,58,0,0,0,17/08/2024
Pau Cubarsí,Barcelona,2,ESP,CB,17,63,0,0,0,0,1,0,1,0,58,0,0,1,0,0,0,0,0,44,51,"86,3",3,36,0,0,0,17/08/2024
Andreas Christensen,Barcelona,15,DEN,CB,28,27,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,14,16,"87,5",0,9,0,0,0,17/08/2024
Jules Koundé,Barcelona,23,FRA,RB,25,90,0,0,0,0,0,0,1,0,82,1,1,1,0,0,0,0,0,68,75,"90,7",5,47,1,2,1,17/08/2024
Marc-André ter Stegen,Barcelona,1,GER,GK,32,90,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,34,41,"82,9",0,27,0,0,0,17/08/2024
Mikel Oyarzabal,Real Sociedad,10,ESP,FW,27,82,0,0,0,0,2,0,0,0,25,0,0,0,0.2,0.2,0,2,0,10,17,"58,8",0,13,0,1,1,18/08/2024
Luka Sučić,Real Sociedad,24,CRO,FW,21,8,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,1,1,7,9,"77,8",1,5,0,0,0,18/08/2024
Sheraldo Becker,Real Sociedad,11,SUR,LW,29,90,0,0,0,0,2,1,0,0,35,1,0,0,0.1,0.1,0.2,2,0,15,31,"48,4",1,21,6,0,0,18/08/2024
Takefusa Kubo,Real Sociedad,14,JPN,RW,23,67,0,0,0,0,0,0,0,0,23,1,0,3,0,0,0.1,4,0,11,14,"78,6",2,17,2,6,2,18/08/2024
Sergio Gómez,Real Sociedad,17,ESP,RW,23,23,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,16,23,"69,6",1,13,0,1,0,18/08/2024
Beñat Turrientes,Real Sociedad,22,ESP,LM,22,67,0,0,0,0,1,1,0,0,35,4,0,2,0,0,0,0,0,19,25,"76,0",4,13,1,1,1,18/08/2024
Ander Barrenetxea,Real Sociedad,7,ESP,LM,22,23,0,0,0,0,0,0,0,0,19,0,1,2,0,0,0.1,1,0,11,15,"73,3",0,14,2,0,0,18/08/2024
Urko González,Real Sociedad,15,ESP,CM,23,45,0,0,0,0,0,0,1,0,20,0,0,1,0,0,0,1,0,10,17,"58,8",1,12,0,0,0,18/08/2024
Martín Zubimendi,Real Sociedad,4,ESP,CM,25,45,1,0,0,0,2,1,0,0,32,1,0,1,0.4,0.4,0,0,0,20,26,"76,9",4,11,1,0,0,18/08/2024
Brais Méndez,Real Sociedad,23,ESP,RM,27,90,0,0,0,0,2,1,0,0,62,1,0,1,0.1,0.1,0,1,0,37,50,"74,0",4,33,1,1,1,18/08/2024
Javi López,Real Sociedad,12,ESP,LB,22,90,0,0,0,0,1,0,0,0,66,0,0,3,0,0,0,1,0,45,55,"81,8",5,28,3,1,0,18/08/2024
Jon Pacheco,Real Sociedad,20,ESP,CB,23,90,0,0,0,0,0,0,0,0,60,1,1,1,0,0,0,3,0,45,51,"88,2",1,27,1,0,0,18/08/2024
Aritz Elustondo,Real Sociedad,6,ESP,CB,30,90,0,0,0,0,1,0,0,0,82,1,1,1,0.2,0.2,0,1,0,70,77,"90,9",7,49,1,0,0,18/08/2024
Hamari Traoré,Real Sociedad,18,MLI,RB,32,74,0,0,0,0,0,0,0,0,54,2,0,0,0,0,0,1,0,40,50,"80,0",3,18,1,1,1,18/08/2024
Jon Aramburu,Real Sociedad,27,VEN,RB,22,16,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,1,1,11,17,"64,7",4,7,0,1,0,18/08/2024
Álex Remiro,Real Sociedad,1,ESP,GK,29,90,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,28,35,"80,0",0,21,0,0,0,18/08/2024
Kylian Mbappé,Real Madrid,9,FRA,FW,25,90,0,0,0,0,4,2,0,0,40,0,0,0,0.3,0.3,0,0,0,25,32,"78,1",5,26,5,5,3,18/08/2024
Vinicius Júnior,Real Madrid,7,BRA,LW,24,87,0,1,0,0,2,0,0,0,55,0,0,0,0.1,0.1,0.3,7,1,33,44,"75,0",5,41,4,8,3,18/08/2024
Brahim Díaz,Real Madrid,21,MAR,LW,25,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,5,5,"100,0",2,5,0,0,0,18/08/2024
Rodrygo,Real Madrid,11,BRA,RW,23,90,1,0,0,0,3,2,0,0,77,1,0,2,0.2,0.2,0,3,0,60,69,"87,0",4,50,5,4,2,18/08/2024
Jude Bellingham,Real Madrid,5,ENG,LM,21,87,0,0,0,0,0,0,0,0,82,6,0,2,0,0,0.1,4,0,63,73,"86,3",14,57,2,1,1,18/08/2024
Arda Güler,Real Madrid,15,TUR,RM,19,3,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,2,4,"50,0",0,3,0,1,1,18/08/2024
Aurélien Tchouaméni,Real Madrid,14,FRA,CM,24,62,0,0,0,0,0,0,0,0,63,4,0,0,0,0,0,1,0,57,58,"98,3",4,42,0,0,0,18/08/2024
Luka Modrić,Real Madrid,10,CRO,CM,38,28,0,0,0,0,2,1,0,0,46,0,0,0,0,0,0,3,0,36,44,"81,8",5,33,0,0,0,18/08/2024
Federico Valverde,Real Madrid,8,URU,"RM,LM",26,90,0,0,0,0,0,0,0,0,88,1,1,0,0,0,0,4,0,69,78,"88,5",8,54,1,0,0,18/08/2024
Ferland Mendy,Real Madrid,23,FRA,LB,29,89,0,0,0,0,0,0,0,1,81,1,0,1,0,0,0,0,0,71,72,"98,6",3,46,0,0,0,18/08/2024
Antonio Rüdiger,Real Madrid,22,GER,CB,31,90,0,0,0,0,1,0,0,0,83,0,1,1,0,0,0,1,0,65,73,"89,0",9,50,1,1,1,18/08/2024
Éder Militão,Real Madrid,3,BRA,CB,26,90,0,0,0,0,1,0,0,0,67,2,0,0,0,0,0,0,0,58,60,"96,7",5,51,1,0,0,18/08/2024
Dani Carvajal,Real Madrid,2,ESP,RB,32,86,0,0,0,0,0,0,0,0,68,0,2,0,0,0,0,1,0,50,59,"84,7",2,36,0,0,0,18/08/2024
Lucas Vázquez,Real Madrid,17,ESP,RB,33,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,4,"50,0",0,1,0,0,0,18/08/2024
Thibaut Courtois,Real Madrid,1,BEL,GK,32,90,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,24,26,"92,3",0,17,0,0,0,18/08/2024
Arnaut Danjuma,Villarreal,9,NED,FW,27,78,1,0,0,0,3,1,0,0,20,0,0,0,0.5,0.5,0,0,0,7,13,"53,8",1,12,2,2,0,19/08/2024
Ayoze Pérez,Villarreal,22,ESP,FW,31,12,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,6,8,"75,0",1,5,1,0,0,19/08/2024
Gerard Moreno,Villarreal,7,ESP,FW,32,70,0,0,0,0,2,2,0,0,35,1,0,0,0.1,0.1,0,2,0,20,26,"76,9",4,24,0,2,1,19/08/2024
Nicolas Pépé,Villarreal,19,CIV,FW,29,20,0,0,0,0,2,0,0,0,13,0,1,0,0.1,0.1,0,0,0,6,6,"100,0",0,5,0,4,2,19/08/2024
Alex Baena,Villarreal,16,ESP,LM,23,70,0,0,0,0,1,0,0,0,37,0,1,1,0,0,0,3,0,25,31,"80,6",8,20,1,5,2,19/08/2024
Pape Gueye,Villarreal,18,SEN,CM,25,20,0,0,0,0,0,0,0,0,22,0,0,2,0,0,0,0,0,15,18,"83,3",2,8,1,0,0,19/08/2024
Santi Comesaña,Villarreal,14,ESP,"CM,LM",27,90,0,0,0,0,0,0,0,0,46,1,0,2,0,0,0,0,0,37,39,"94,9",3,21,0,1,1,19/08/2024
Daniel Parejo,Villarreal,10,ESP,CM,35,89,0,0,0,0,0,0,0,0,65,1,2,1,0,0,0,0,0,55,59,"93,2",4,22,1,1,1,19/08/2024
Ramón Terrats,Villarreal,20,ESP,CM,23,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,"100,0",1,3,0,0,0,19/08/2024
Yeremi Pino,Villarreal,21,ESP,RM,21,70,0,0,0,0,1,0,1,0,27,1,0,1,0.1,0.1,0.4,5,0,17,22,"77,3",2,15,1,2,2,19/08/2024
Ilias Akhomach,Villarreal,11,MAR,RM,20,20,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,2,0,7,9,"77,8",1,10,1,5,2,19/08/2024
Sergi Cardona,Villarreal,23,ESP,LB,25,90,0,0,0,0,0,0,0,0,66,1,1,2,0,0,0.1,1,0,45,57,"78,9",6,25,2,1,0,19/08/2024
Eric Bailly,Villarreal,4,CIV,CB,30,90,0,0,0,0,0,0,0,0,66,1,2,2,0,0,0,0,0,50,55,"90,9",2,31,1,2,2,19/08/2024
Raúl Albiol,Villarreal,3,ESP,CB,38,90,0,0,0,0,0,0,0,0,71,1,1,0,0,0,0,1,1,55,60,"91,7",1,30,0,0,0,19/08/2024
Kiko Femenía,Villarreal,17,ESP,RB,33,90,0,0,0,0,0,0,0,0,82,3,2,2,0,0,0,2,0,69,74,"93,2",10,39,4,2,1,19/08/2024
Diego Conde,Villarreal,13,ESP,GK,25,90,0,1,0,0,0,0,0,0,25,0,0,0,0,0,0.1,1,1,18,24,"75,0",0,14,0,0,0,19/08/2024
Alexander Sørloth,Atlético Madrid,9,NOR,FW,28,45,1,0,0,0,1,1,0,0,14,1,0,0,0.1,0.1,0,0,0,7,11,"63,6",0,3,0,0,0,19/08/2024
Ángel Correa,Atlético Madrid,10,ARG,FW,29,45,0,0,0,0,1,0,0,0,18,1,0,0,0.1,0.1,0.1,2,0,9,11,"81,8",1,10,1,3,3,19/08/2024
Samuel Lino,Atlético Madrid,12,BRA,"AM,WB,CM",24,90,0,0,0,0,3,1,1,0,52,1,0,1,0.7,0.7,0,2,0,33,41,"80,5",2,32,2,4,2,19/08/2024
Antoine Griezmann,Atlético Madrid,7,FRA,"AM,FW",33,77,0,1,0,0,1,1,0,0,45,0,0,0,0.1,0.1,0.1,2,1,35,43,"81,4",3,28,1,0,0,19/08/2024
Julián Álvarez,Atlético Madrid,19,ARG,FW,24,13,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,2,"100,0",0,1,0,0,0,19/08/2024
Koke,Atlético Madrid,6,ESP,CM,32,63,0,0,0,0,0,0,0,0,55,3,0,0,0,0,0.6,2,0,45,50,"90,0",4,32,0,0,0,19/08/2024
Rodrigo De Paul,Atlético Madrid,5,ARG,CM,30,27,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0.1,2,0,26,30,"86,7",2,23,0,0,0,19/08/2024
Pablo Barrios,Atlético Madrid,8,ESP,CM,21,90,0,1,0,0,2,0,1,0,69,2,2,0,0,0,0.1,4,2,50,60,"83,3",7,45,1,3,3,19/08/2024
Reinildo Mandava,Atlético Madrid,23,MOZ,WB,30,53,0,0,0,0,0,0,0,0,40,2,0,1,0,0,0,0,0,26,35,"74,3",1,20,0,0,0,19/08/2024
Nahuel Molina,Atlético Madrid,16,ARG,WB,26,37,0,0,0,0,0,0,0,0,42,2,0,1,0,0,0,0,0,31,38,"81,6",3,20,0,0,0,19/08/2024
Marcos Llorente,Atlético Madrid,14,ESP,"WB,CM",29,90,1,0,0,0,1,1,0,0,56,1,0,1,0.1,0.1,0.1,3,1,42,50,"84,0",10,34,3,1,0,19/08/2024
Robin Le Normand,Atlético Madrid,24,ESP,CB,27,90,0,0,0,0,0,0,1,0,78,0,0,1,0,0,0,0,0,66,71,"93,0",4,53,1,0,0,19/08/2024
Axel Witsel,Atlético Madrid,20,BEL,CB,35,45,0,0,0,0,0,0,0,0,33,0,0,1,0,0,0,0,0,28,30,"93,3",0,26,0,0,0,19/08/2024
José María Giménez,Atlético Madrid,2,URU,CB,29,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,40,42,"95,2",2,27,0,0,0,19/08/2024
César Azpilicueta,Atlético Madrid,3,ESP,CB,34,90,0,0,0,0,0,0,0,0,104,4,0,1,0,0,0,0,0,88,97,"90,7",12,63,2,0,0,19/08/2024
Jan Oblak,Atlético Madrid,13,SVN,GK,31,90,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,19,20,"95,0",0,11,0,0,0,19/08/2024
Hugo Duro,Valencia,9,ESP,FW,24,76,0,0,0,0,3,0,0,0,25,1,0,1,0.1,0,0,1,0,12,18,"66,7",0,8,0,0,0,23/08/2024
Dani Gómez,Valencia,17,ESP,FW,26,14,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,2,"100,0",0,1,0,0,0,23/08/2024
Domingos André Ribeiro Almeida,Valencia,10,POR,"FW,CM",24,90,0,0,0,0,1,1,0,0,67,1,1,2,0,0,0,3,0,52,59,"88,1",7,51,1,1,0,23/08/2024
Diego López,Valencia,16,ESP,"LM,RM",22,76,1,0,0,0,1,1,0,0,43,0,0,0,0.4,0.4,0,2,0,28,33,"84,8",3,27,1,3,1,23/08/2024
Martín Tejón,Valencia,32,ESP,RM,20,14,0,0,0,0,1,0,0,0,17,1,0,0,0.1,0.1,0,0,0,11,14,"78,6",3,9,0,1,0,23/08/2024
Javier Guerra,Valencia,8,ESP,CM,21,60,0,0,0,0,1,0,0,0,45,1,0,0,0,0,0.1,3,0,32,37,"86,5",3,35,0,0,0,23/08/2024
Luis Rioja,Valencia,22,ESP,LM,30,30,0,0,0,0,1,0,0,0,18,0,2,0,0,0,0,1,0,8,13,"61,5",1,14,1,1,0,23/08/2024
José Luis García Vayá,Valencia,18,ESP,CM,26,90,0,0,0,0,0,0,0,0,80,1,0,0,0,0,0.2,3,0,63,75,"84,0",6,44,0,0,0,23/08/2024
